title,content,published_at,source,topic
"BTS: RM is reminded of Bon Voyage as he travels in Switzerland, gives glimpse of Chris Martin's chair to fans. Watch","After reaching his hotel in the city, RM revealed that his stay would be for four days and added that he would step out for dinner. As he sat at a roadside open-air restaurant, RM feasted on beer, burgers and fries. He said, ""I'm starving right now. I'm out to grab some food. It's much quieter than I expected and feels like a rural town. I like the familiar atmosphere."" RM attended Art Basel and explained on camera the details of the art fair. He also gave a glimpse as he had noodles and beer which was followed by soup noodles and wrap. Showing the pattern of a ping pong table, RM said, ""The table looks like our (BTS) symbol."" He also spoke about the art pieces as he viewed them. After that, RM took a tram to visit the Foundation Beyeler, a museum. He later took a walk through the city. On his third day, RM visited the Kunstmuseum Basel, the Vitra Design Museum and the gallery. As he walked around, RM showed a chair to his fans and said, ""I have breaking news for you guys. Coldplay's Chris Martin made a chair and it's displayed in the Vitra Design Museum. If you see this Chris, give me a call. You're amazing."" RM next visited Lucerne and hiked to Mount Rigi. Recalling his previous visit to Lucerne, RM added, ""I remember the day of crossing that bridge and buying souvenirs."" He was also reminded of Bon Voyage, a reality show featuring BTS members RM, Jin, Suga, J-Hope, Jimin, V and Jungkook. Speaking to the camera, RM said, ""I rode the SSB train to Lucerne, rode a boat, rode the mountain train, walked down the track road, rode the cable cars, and now I'm on a boat planning to go ride the SSB again."" RM's travel in Switzerland ended with a visit to the Museum Tinguely. Next, RM flew to Paris to attend the Pinault Collection and to visit Musee d'Orsay. He then went to Centre Georges-Pompidou and Orsay Museum. RM's vlog ended with him enjoying a Korean meal and then heading back to Seoul.",2022-07-30T07:00:00Z,2,13
RM recalls wondering if he 'made right decision by joining' BTS: I was thinking about how I would be able to overcome...,"RM aka Kim Namjoon was the first member to join BTS. The group released their debut single album 2 Cool 4 Skool on June 12, 2013. Apart from RM, BTS also features Jin, Suga, J-Hope, Jimin, V, and Jungkook. In an interview with Hypebeast, RM said, ""This is the most difficult question to answer truthfully. Recently, I watched Everything Everywhere All At Once. That film visualized many of the ideas that I’ve had, such as the idea about multiple versions of myself existing based on small choices I made. I often think about what it would have been like if I continued my studies or became something other than a musician."" ""To be honest, one decision that I had often thought about was my choice to become a part of a boy band. In the late 2000s, musicians like Zico, Changmo, and Giriboy were the people that I started out with. In my journey with BTS, I drifted further and further away from that world and was tormented by the thought that the people that I liked – and the people who enjoyed the same music as I – did not have any love for me. I often wondered whether I made the right decision by joining a boy band. At the time, BTS, was treated like a complete outsider in the Korean hip-hop community. That stressed me out. I was constantly thinking about how I would be able to overcome that perception and how to define music or hip-hop,” he added. RM released his first solo mixtape in 2015. Three years later, he released his second mixtape, Mono. RM has collaborated with artists such as Wale, Younha, Warren G, Gaeko, Krizz Kaliko, MFBTY, Fall Out Boy, Primary, Lil Nas X, Erykah Badu, and Anderson .Paak. Earlier this month, RM released his first full-length solo album Indigo.",2022-12-22T15:57:55Z,2,13
BTS: J-Hope and RM go bonkers at Billie Eilish's concert; ARMY rejoice seeing Namjoon and Hobi's energetic avatar [Watch Videos] ,"Billie Eilish's concert was held in Seoul, South Korea and it was attended by BTS' RM aka Kim Namjoon and J-Hope aka Jung Hoseok. The pictures and videos of Hobi and Namjoon attending Billie Eilish's concert have been going viral on social media right now. RM and J-Hope had a gala time at Billie's concert. They really enjoyed the concert as the audience and grooved to her music like the fans. BTS ARMY is rejoicing in the fact that they got to see their boys, enjoying their time and being themselves Billie Eilish is on a world tour right now. Her current stop being South Korea's Seoul. Billie performed in Seoul with full vigour and enthusiasm and the concert was a packed one too, it seems. BTS members - RM and J-Hope were seen sitting amongst the audience. When it was their favourite jam, RM and J-Hope got off their seats and grooved to the music like there was nobody around. And honestly, it's the best part of BTS content in a long while. The Boys enjoyed Billie Eilish's concert to their heart's content. J-Hope also posted videos on his Instagram, which have been picked by the ARMY and shared online.' BTS' RM and J-Hope attending Billie Eilish's concert is being widely discussed in Hollywood News. BTS leader RM aka Kim Namjoon who is quite active on social media took to his Instagram handle and posted a couple of pictures, mementoes from Billie Eilish's concert in Seoul. In the picture, we see RM and J-Hope posing with Billie and her singer-songwriter brother Finneas aka Finneas Baird O'Connell. While the first two pictures are with Billie and Finneas, the second one is a picture of Billie performing while the third picture consists of his hand with the wrist band of Billie Eilish's concert entry. RM captioned the post saying, ""bad guys Well, there was a time when the ARMY would be enjoying the concerts of BTS. But the flip side of watching them perform is equally heartwarming for the BTS ARMY. Check out their tweets here: On the work front, J-Hope is busy promoting his recently released album Jack In The Box. RM, on the other hand, is yet to reveal deets about his solo project. Next month, it happens to be RM's birthday. Maybe, he'd announce something then. Also, more BTS content is coming up as Run BTS is coming back from tonight",2022-08-16T07:00:00Z,1,7
"BTS: J-Hope proudly states he raised Jungkook, Jimin and Kim Taehyung; ARMY gets emotional [Watch]","BTS ARMY y'all would be missing the members a lot, right? Well, one of the BTS members Kim Seokjin aka Jin has enlisted in the military while the others six members are quite busy with their work. The boys are going to complete their projects and then enlist in the military one by one. And till then you could calm yourself with the newest Bangtan Bomb. It is J-Hope's BTS from the time he visited Japan A couple of weeks ago, J-Hope attended the Mama award all by himself. He performed on his latest solo album and also picked several awards. And while in Japan, J-Hope also attended the exhibition in Tokyo. He was dressed in casuals and went through each section one by one. J-Hope's video is going viral in Hollywood News right now.' When J-Hope is at the museum, he goes through the concept photos of Proof one by one. When he sees Jungkook, Hobi says that he never listens but has grown up to be handsome. He boasts about raising Jimin and Taehyung as well. Jung Hoseok aka J-Hope's face when he looks at the maknae line is super adorable Seeing Hobi walk through the whole exhibition centre and reminisce all the memories, even dance to an old choreography has left them all emotional. J-Hope's behaviour when he says the pictures of the maknae have left them emotional. Check out the tweets here: Meanwhile, J-Hope's popularity has reached higher after the success of Jack In The Box, his first solo album. J-Hope was the first member to drop his solo album. Hobi is such a sunshine!",2022-12-18T13:08:40Z,1,7
BTS: Jin aka Kim Seokjin takes us through the Super Tuna journey; his unbridled excitement on catching a real bluefish tuna is unmissable,"BTS member Kim Seokjin aka Jin has the capacity to create diverse content. This has come through so brilliantly in the past few days. From making traditional Korean alcohol with chef Baek Dong Won, to entertaining fans on the Youngji show, he is too multi-talented. Some days back, we saw the Sea of Jin concept pictures. Today, Bangtan TV has shared a video of Jin's fishing trip with Bumzu. He is a music producer with Big Hit Music. Bumzu also works a lot with the group SEVENTEEN. In the video, we can see BTS vocalist Jin aka Kim Seokjin dressed in overalls, a grey shirt and life jacket We know that BTS member Jin is fond of fishing. In the video, we can see that he has caught a fish. It is indeed a bluefin tuna that takes the bait. The fish is not very common in the Korean waters. One can find it in the sea near Jeju Island. Jin's happiness on catching the fish is boundless. Take a look BTS member Jin aka Kim Seokjin will be the first to head to the Korean military. He will soon turn 31. ARMY is very worried as he will head to the front line in the freezing winters of Korea. Jungkook is also getting back home to Korea from Qatar",2022-11-21T08:00:00Z,1,8
"BTS: J-Hope aka Jung Hoseok sets thirst trap with his live after reaching Chicago; ARMY says, 'Who told Hoseok it was ok to moan on live' [Read Tweets]","BTS member J-Hope aka Jung Hoseok has reached Chicago. He is there for the final day of the Lollapalooza Festival that will happen on July 31, 2o22. J-Hope did a live on the new Weverse to have a word with ARMY. Fans went crazy seeing his long hair, collar bones and flawless skin. He revealed that he had been eating only one meal in Korea for some days. J-Hope has dropped five kgs for the festival. The lead dancer, rapper, sub vocalist and music producer will be performing for the first time as a solo performer. He has been preparing hard for a week now J-Hope looked great. In one moment, he started making grunting voices on Vlive. The kind of noises you did hear after some workout. Fans are discussing how he posted a thirst trap in the most innocuous manner. Take a look at the tweets here Jung Hoseok said that he was exploring options on what cool things to do in Chicago. He said he had grown his hair so he could do head banging at the concert. His songs have a rock vibe like More and Arson. The BTS member has just released Jack In The Box, his first solo album. It got a good critical reception, and the songs are doing well on Spotify",2022-07-25T07:00:00Z,1,7
"BTS: J-Hope reveals why 'sometimes' he hides a side of himself, says 'members and ARMY accept all of me'","In the video, J-Hope gave new glimpses of the members in a desert area. Apart from the earlier blue and grey outfits, the BTS members were also seen in white outfits. The clip also comprised J-Hope's mirror selfies, and pictures holding the hands of the members. In the video, J-Hope said, ""I included Her and Outro: Ego in this album, Proof. Her is essentially a love song, but some ARMY interpreted the lyrics as being more complex, about feeling the pressures of having to reshape who I am for Her. There can be many different interpretations, but there are times when I have to wear a mask to hide the sides of myself that I don't particularly want to show other people."" He also added, ""And I sometimes hid because I didn't want to show that side of myself either. But they are all me. I came to accept all of my sides as parts of my identity, my ego, because the members and ARMY accept all of me. Who I am, just as I am, my ego is my Proof."" Reacting to the video, a fan said, ""Yes we accept all of you as you are Hobi..yesterday, today, tomorrow & forever, just be the way you want to be! I LOVE YOU."" ""Army loves & appreciates you for all you do & are #Proof_of_JHope #JHOPE I'm getting emotional.. beloved HER,"" tweeted a person. ""Hobi is so precious, yes Ego is so powerful #Proof_of_JHope is very Beautiful like Acceptance & the most unconditional Bond between Army + BTS (Him). Aaah same Babe same. I'm getting teary eyes #BTS_Proof is such an intimate journey,"" wrote another fan. A tweet read, ""Jung Hoseok saying how Her can be a love song but also be interpreted as a complex song of hiding aspects of ourselves and him embracing all of these sides of himself as his ego to be his proof is so beautiful!"" ""Your growth of realising how every good and downside of you is all you, inspired me a lot to feel better about myself in every persona I own. thank you for sharing with us your journey of finding yourself. I love you. and will always do,"" said a person. ""My cute hope it's your freedom to show what you want to. a beautiful relationship will always have boundaries then only it can become beautiful. I'm so glad and proud that you accept and love all sides of yourself. ARMY will always love you. Thank you for choosing Her and Ego,"" said a fan. BTS's album Proof will release on June 10 and will consist of three new songs--Yet To Come, Run BTS, and Born Singer. It will also consist of old songs such as Run, Fake Love, I Need You, Jamais Vu, Seesaw, Moon, Fire, Persona, N.O, Boy in Luv, Danger, IDOL, Dynamite, Life Goes On and Butter.",2022-05-23T07:00:00Z,2,7
BTS: What's cooking between J-Hope and Model Irene? ARMY puzzled over their frequent outings together [VIEW TWEETS],"BTS members Jungkook, J-Hope, Jin, RM, Suga, V and Jimin are world famous. Every little about their lives makes it to the headlines. Fans known as ARMY are very inquisitive to know more and more about their favourite band members. So here's some scoop on BTS member J-Hope. Fans are puzzled over his frequent outings with model Irene and are wondering if something is brewing between the two. The BTS member is currently in New York and is chilling with friend Irene and others. The pictures of them have gone viral on social media and ARMY is racking their heads over the connection between the two Earlier, Irene was spotted at J-Hope's concert in Chicago. She was standing alongside Jimin as she cheered for him. Later, she was also at the Jack In The Box' listening party. As the pictures have hit headlines, AllKpop has reported that a social media user has started a post called 'What exactly is [the relationship between] J-Hope and Irene?' on a community forum. However, there are some netizens who are claiming that Irene already has a boyfriend.' Many responded to the post. One netizen wrote, ""I think it's because she follows him around too much. She's also a celebrity but why is she like this?"" Another one questioned, ""Is she following him around because she's really his girlfriend?"" Some even tweeted about it Take a look at the tweets below: Earlier in July, Irene had posted pictures with J-Hope on social media. Well, okay then!",2022-08-06T07:00:00Z,1,7
Happy Birthday Jungkook: 'SEPTEMBER HUSBAND' trends on Twitter due to J-Hope – here's why,"It's Jungkook's 25th birthday today! The Golden Maknae of BTS, Jeon Jungkook is one of the biggest trends across the globe right now. And while the BTS ARMYs are pouring in wishes and love for Jungkook on Twitter and across social media portals, 'September Husband' is trending on Twitter and it is all due to J-Hope aka Jung Hoseok, Jungkook's hyung. So, a couple of BTS members – Jin, Taehyung and Hobi have wished Jungkook on Weverse/Twitter So, Jungkook's birthday is one of the biggest trends in Hollywood News right now. J-Hope posted a birthday wish for the Run BTS singer. He took to BTS' Twitter handle and posted a couple of birthday wishes tweets for the Golden Maknae. Firstly, he shared a couple of pictures of Jungkook and wrote, ""Happy birthday my bruhhh!!! Hope U best day everrrr -your hope-"" The first one is JK at the White House and the second one seems from HYBE, it seems. In both the pictures, he is seen in blazers. Secondly, J-Hope shared a video of Jungkook from his Jack In The Box listening party in which, a little tipsy JK is seen grooving to his songs. ""We love your groovyyyy,"" Hobi wrote. He posted a hashtag called, ""Racing To Claim My September Husband For The Month,"". As per BTS Daily, it's a hashtag that trends monthly wherein people post their favourite celebrities and characters to claim as their 'husband' for the month. J-Hope later added that he goofed up with the hashtag After J-Hope goofed up, BTS ARMY has been trending September Husband online. And it's one of the biggest trends right now. Fans are talking about it and sharing a lot of posts for Jungkook with the phrase September Husband Meanwhile, after the announcement of a hiatus, Jungkook collaborated with Charlie Puth for Left and Right. He also collaborated with Snoop Dogg, Benny Blanco along with other vocalists of BTS for Bad Decisions. Well, ARMYs would have missed Jungkook as he didn't come live last night. Let's Hope that Jungkook comes live later today",2022-09-01T07:00:00Z,1,7
"BTS' J-Hope celebrates Chuseok 2022 with new pics in traditional Hanbok, wishes ARMY happy holidays: See new post","After BTS members - RM, Jin, Suga, J-Hope, Jimin, V and Jungkook - delighted ARMY with a live on Weverse to mark the beginning of the holiday season, BTS member J-Hope dropped new pictures to wish ARMY on the occasion of Chuseok today. The South Korean rapper, singer-songwriter, dancer, and producer shared photos of himself dressed in a traditional Hanbok and wished his fans happy holidays and New Year. He had worn the traditional outfit during the Weverse live with the other members. Meanwhile, Chuseok, also known as Hangawi, is a major mid-autumn harvest festival in Korea. It is a three-day holiday in South Korea, celebrated on the 15th day of the 8th month of the lunar calendar on the full moon. This year, Chuseok falls on September 10 in South Korea, and the holidays began on September 9 and will last till September 12. On this day, families gather to enjoy time together and thank their ancestors for the plentiful harvest. Earlier, the official Instagram page of BTS had shared seven concept reels featuring all the members - RM, Jin, Suga, J-Hope, Jimin, V and Jungkook - to celebrate Chuseok. The videos showed the members dressed in Hanbok and showing off their sensual charm with a piercing gaze amid a beautiful backdrop under the moonlight. The videos are a part of their popular Dalmajung merch collection. Check out J-Hope's video below. Recently, J-Hope released his immensely anticipated solo album Jack In The Box. It featured several new tracks, including Arson, More, Jack In The Box and Pandora Box. The rapper even created history with his performance at Lollapalooza.",2022-09-10T07:00:00Z,2,7
